particle,class,umap1,umap2,tsne1,tsne2
aligned_tom100_P0001.mrc,1,7.694068,0.567850,-0.403095,-12.231385
aligned_tom101_P0001.mrc,1,6.716857,1.050291,12.148713,-5.846610
aligned_tom101_P0002.mrc,1,6.712947,1.732797,-3.696236,1.649001
aligned_tom102_P0001.mrc,1,6.833487,2.797207,-6.729530,5.046574
aligned_tom102_P0002.mrc,1,8.682930,0.812671,-14.001562,-4.465674
aligned_tom102_P0003.mrc,1,7.556577,1.389973,11.251967,-4.918477
aligned_tom103_P0001.mrc,1,7.105589,0.216493,2.281540,-12.584607
aligned_tom103_P0002.mrc,1,5.624344,2.023619,3.978738,-5.508941
aligned_tom104_P0001.mrc,1,5.886880,0.888601,3.160486,-1.661806
aligned_tom104_P0002.mrc,1,6.704116,-0.507299,-0.336373,-22.050329
aligned_tom104_P0003.mrc,1,5.623671,-0.386102,-9.035828,3.247686
aligned_tom105_P0001.mrc,1,6.918540,2.053254,2.326781,1.377014
aligned_tom105_P0002.mrc,1,7.176280,2.136186,-0.312783,-0.091233
aligned_tom106_P0001.mrc,2,7.708861,4.569033,-2.086355,19.266338
aligned_tom106_P0002.mrc,1,6.533967,2.453217,3.096436,0.363984
aligned_tom106_P0003.mrc,2,8.648626,4.383871,4.127774,24.066259
aligned_tom107_P0001.mrc,1,5.228599,1.131205,-5.506211,-15.511035
aligned_tom107_P0002.mrc,2,8.198098,5.457993,8.661211,23.695045
aligned_tom108_P0001.mrc,1,7.621373,-0.045579,-6.198100,-18.143801
aligned_tom109_P0001.mrc,1,6.999979,0.658257,1.557549,-10.873284
aligned_tom109_P0002.mrc,1,8.497555,-0.064328,-8.641909,-7.825485
aligned_tom109_P0003.mrc,1,5.768571,-0.277242,-7.619123,2.776736
aligned_tom109_P0004.mrc,1,7.952485,1.300925,-5.263894,-7.125276
aligned_tom10_P0001.mrc,2,7.333798,4.580350,3.017754,17.344906
aligned_tom10_P0002.mrc,1,6.532173,0.284439,-3.831607,-9.425562
aligned_tom110_P0001.mrc,1,5.775735,2.932513,-3.009893,5.409063
aligned_tom111_P0001.mrc,1,7.005997,0.392894,-0.829413,-13.240865
aligned_tom111_P0002.mrc,1,8.083823,1.325287,-6.208254,-4.787526
aligned_tom111_P0003.mrc,1,7.246756,0.810858,0.785247,-17.346224
aligned_tom112_P0001.mrc,1,6.772495,1.455070,13.288916,-14.291206
