shell_freq	fsc_value
0.012500	0.997413
0.025000	0.996760
0.037500	0.985754
0.050000	0.981794
0.062500	0.986238
0.075000	0.937678
0.087500	0.913276
0.100000	0.960079
0.112500	0.843491
0.125000	0.843206
0.137500	0.778964
0.150000	0.744817
0.162500	0.735423
0.175000	0.596335
0.187500	0.543776
0.200000	0.565331
0.212500	0.472506
0.225000	0.441380
0.237500	0.457534
0.250000	0.504150
0.262500	0.486673
0.275000	0.468574
0.287500	0.594865
0.300000	0.553856
0.312500	0.606904
0.325000	0.647975
0.337500	0.653012
0.350000	0.676230
0.362500	0.682811
0.375000	0.715237
0.387500	0.707628
0.400000	0.743453
0.412500	0.761854
0.425000	0.786481
0.437500	0.813741
0.450000	0.839783
0.462500	0.862034
0.475000	0.873451
0.487500	0.877910
0.500000	0.822045
