particle,class_int,class_name
aligned_tom100_P0001.mrc,2,class_b
aligned_tom101_P0001.mrc,2,class_b
aligned_tom101_P0002.mrc,2,class_b
aligned_tom102_P0001.mrc,2,class_b
aligned_tom102_P0002.mrc,2,class_b
aligned_tom102_P0003.mrc,2,class_b
aligned_tom103_P0001.mrc,2,class_b
aligned_tom103_P0002.mrc,2,class_b
aligned_tom104_P0001.mrc,2,class_b
aligned_tom104_P0002.mrc,2,class_b
aligned_tom104_P0003.mrc,2,class_b
aligned_tom105_P0001.mrc,2,class_b
aligned_tom105_P0002.mrc,2,class_b
aligned_tom106_P0001.mrc,2,class_b
aligned_tom106_P0002.mrc,2,class_b
aligned_tom106_P0003.mrc,2,class_b
aligned_tom107_P0001.mrc,2,class_b
aligned_tom107_P0002.mrc,2,class_b
aligned_tom108_P0001.mrc,2,class_b
aligned_tom109_P0001.mrc,2,class_b
aligned_tom109_P0002.mrc,2,class_b
aligned_tom109_P0003.mrc,2,class_b
aligned_tom109_P0004.mrc,2,class_b
aligned_tom10_P0001.mrc,2,class_b
aligned_tom10_P0002.mrc,2,class_b
aligned_tom110_P0001.mrc,2,class_b
aligned_tom111_P0001.mrc,2,class_b
aligned_tom111_P0002.mrc,2,class_b
aligned_tom111_P0003.mrc,2,class_b
aligned_tom112_P0001.mrc,2,class_b
aligned_tom112_P0002.mrc,2,class_b
aligned_tom113_P0001.mrc,2,class_b
aligned_tom113_P0002.mrc,2,class_b
aligned_tom113_P0003.mrc,2,class_b
aligned_tom114_P0001.mrc,2,class_b
aligned_tom115_P0001.mrc,2,class_b
aligned_tom115_P0002.mrc,2,class_b
aligned_tom115_P0003.mrc,2,class_b
aligned_tom116_P0001.mrc,2,class_b
aligned_tom117_P0001.mrc,2,class_b
aligned_tom117_P0002.mrc,2,class_b
aligned_tom117_P0003.mrc,2,class_b
aligned_tom118_P0001.mrc,2,class_b
aligned_tom118_P0002.mrc,2,class_b
aligned_tom119_P0001.mrc,2,class_b
aligned_tom11_P0001.mrc,2,class_b
aligned_tom120_P0001.mrc,2,class_b
aligned_tom120_P0002.mrc,2,class_b
aligned_tom120_P0003.mrc,2,class_b
aligned_tom120_P0004.mrc,2,class_b
aligned_tom120_P0005.mrc,2,class_b
aligned_tom121_P0001.mrc,2,class_b
aligned_tom122_P0001.mrc,2,class_b
aligned_tom123_P0001.mrc,2,class_b
aligned_tom124_P0001.mrc,2,class_b
aligned_tom125_P0001.mrc,1,class_a
aligned_tom126_P0001.mrc,2,class_b
aligned_tom126_P0002.mrc,2,class_b
aligned_tom126_P0003.mrc,2,class_b
aligned_tom127_P0001.mrc,2,class_b
aligned_tom128_P0001.mrc,2,class_b
aligned_tom129_P0001.mrc,2,class_b
aligned_tom12_P0001.mrc,2,class_b
aligned_tom12_P0002.mrc,2,class_b
aligned_tom12_P0003.mrc,2,class_b
aligned_tom130_P0001.mrc,2,class_b
aligned_tom130_P0002.mrc,2,class_b
aligned_tom131_P0001.mrc,2,class_b
aligned_tom131_P0002.mrc,2,class_b
aligned_tom131_P0003.mrc,2,class_b
aligned_tom132_P0001.mrc,2,class_b
aligned_tom133_P0001.mrc,3,junk
aligned_tom134_P0001.mrc,3,junk
aligned_tom135_P0001.mrc,3,junk
aligned_tom136_P0001.mrc,3,junk
aligned_tom136_P0002.mrc,3,junk
aligned_tom137_P0001.mrc,3,junk
aligned_tom137_P0002.mrc,3,junk
aligned_tom138_P0001.mrc,3,junk
aligned_tom138_P0002.mrc,3,junk
aligned_tom138_P0003.mrc,3,junk
aligned_tom138_P0004.mrc,3,junk
aligned_tom139_P0001.mrc,3,junk
aligned_tom139_P0002.mrc,3,junk
aligned_tom139_P0003.mrc,3,junk
