package,embedding,sigma,ari_mean,ari_sd
Dynamo,UMAP,0.0,0.3512258294739901,0.017976836640981722
Dynamo,UMAP,0.1,0.36157536136055635,0.06103654798555365
Dynamo,UMAP,0.25,0.31818603326094275,0.08013464217748335
Dynamo,UMAP,0.5,0.24434614559201373,0.0904404466528785
Dynamo,UMAP,1.0,0.14620078690279617,0.05831960771195824
Dynamo,UMAP,1.5,0.08229354557802673,0.03600902881034388
Dynamo,UMAP,2.0,0.049980655537476534,0.025384991993630424
Dynamo,t-SNE,0.0,0.2192642311864626,0.02392455742599034
Dynamo,t-SNE,0.1,0.24543392359976704,0.038690572193480655
Dynamo,t-SNE,0.25,0.2548002179873484,0.0665968908264487
Dynamo,t-SNE,0.5,0.20021474982279272,0.089735937068703
Dynamo,t-SNE,1.0,0.11191028818760436,0.06646239993174272
Dynamo,t-SNE,1.5,0.06625645138314082,0.041235068935576664
Dynamo,t-SNE,2.0,0.03796803198086776,0.028561545020455572
PEET,PCA,0.0,0.0012071175193518768,0.003908722744774826
PEET,PCA,0.1,-0.001138364586803749,0.0034777984312241808
PEET,PCA,0.25,-0.0013132473426695373,0.006736392726025258
PEET,PCA,0.5,0.009579569183562961,0.011225698040198028
PEET,PCA,1.0,0.02054569021606318,0.022845655811382266
PEET,PCA,1.5,0.009500765212800811,0.008391923271280854
PEET,PCA,2.0,0.008792916361392731,0.009777330625606446
