package,dataset,k,run,n_particles,ARI,AMI,V_measure,accuracy,pred_csv,notes
relion,motor_easy,2,k2_wedge,634,0.004571,0.001093,0.002966,0.378549,outputs/relion_motor_easy/Class3D/k2_wedge/predictions.csv,
relion,motor_easy,3,k3_wedge,634,0.006375,0.008425,0.011527,0.384858,outputs/relion_motor_easy/Class3D/k3_wedge/predictions.csv,
relion,motor_easy,3,k3_wedge_v3_GTseeded,634,0.254623,0.228929,0.231193,0.673502,outputs/relion_motor_easy/Class3D/k3_wedge_v3/predictions.csv,GT-seeded+firstiter_cc: best RELION result; blind result is k3_wedge ARI=0.005
relion,motor_easy,3,k3_wedge_v3_694_iter1,694,0.379643,0.324007,0.325830,0.743516,outputs/relion_motor_easy/Class3D/k3_wedge_v3_694/predictions_iter1.csv,694-particle rebuild; GT-seeded+firstiter_cc
relion,motor_easy,3,k3_wedge_v3_694_iter2,694,0.099192,0.096564,0.099072,0.548991,outputs/relion_motor_easy/Class3D/k3_wedge_v3_694/predictions_iter2.csv,694-particle rebuild; GT-seeded+firstiter_cc
peet,motor_easy,2,k2_pc1_3_694,694,-0.005123,0.007791,0.009517,0.373199,outputs/peet_motor_easy/predictions_k2_pc1_3.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,2,k2_pc1_5_694,694,-0.005940,0.005777,0.007532,0.377522,outputs/peet_motor_easy/predictions_k2_pc1_5.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,2,k2_pc1_10_694,694,-0.003938,0.005440,0.007252,0.400576,outputs/peet_motor_easy/predictions_k2_pc1_10.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,3,k3_pc1_3_694,694,0.003492,0.023935,0.026785,0.389049,outputs/peet_motor_easy/predictions_k3_pc1_3.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,3,k3_pc1_5_694,694,0.023855,0.102612,0.105384,0.400576,outputs/peet_motor_easy/predictions_k3_pc1_5.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,3,k3_pc1_10_694,694,0.026292,0.111066,0.113740,0.423631,outputs/peet_motor_easy/predictions_k3_pc1_10.csv,694-particle rebuild; correct mask r=32px Y-10
peet,motor_easy,2,k2_pc1_3_cnew,694,-0.001451,0.080134,0.081846,0.394813,outputs/peet_motor_easy/predictions_k2_pc1_3.csv,
peet,motor_easy,2,k2_pc1_5_cnew,694,0.115647,0.163956,0.165452,0.512968,outputs/peet_motor_easy/predictions_k2_pc1_5.csv,
peet,motor_easy,2,k2_pc1_10_cnew,694,0.111275,0.159794,0.161307,0.505764,outputs/peet_motor_easy/predictions_k2_pc1_10.csv,
peet,motor_easy,3,k3_pc1_3_cnew,694,0.049987,0.145230,0.147763,0.427954,outputs/peet_motor_easy/predictions_k3_pc1_3.csv,
peet,motor_easy,3,k3_pc1_5_cnew,694,0.025251,0.123344,0.126034,0.400576,outputs/peet_motor_easy/predictions_k3_pc1_5.csv,
peet,motor_easy,3,k3_pc1_10_cnew,694,0.027048,0.126876,0.129560,0.407781,outputs/peet_motor_easy/predictions_k3_pc1_10.csv,
relion,motor_easy,3,k3_wedge_v4_iter001,694,0.475264,0.438005,0.439502,0.795389,/tmp/relion_v4_iter001.csv,
relion,motor_easy,3,k3_wedge_v4_iter002,694,0.254842,0.223281,0.225354,0.664265,/tmp/relion_v4_iter002.csv,
