package,dataset,k,run,n_particles,ARI,AMI,V_measure,accuracy,pred_csv,notes
peet,motor_switch,2,k2_pc1_3,451,0.005410,0.060021,0.062918,0.552106,outputs/FM_switch/peet/predictions_k2_pc1_3.csv,
peet,motor_switch,2,k2_pc1_5,451,0.000439,0.057766,0.060410,0.492239,outputs/FM_switch/peet/predictions_k2_pc1_5.csv,
peet,motor_switch,2,k2_pc1_10,451,0.006830,0.062224,0.064852,0.507761,outputs/FM_switch/peet/predictions_k2_pc1_10.csv,
relion,motor_switch,2,k2_v3_GT_seeded_iter1,451,0.378898,0.279452,0.281461,0.769401,outputs/FM_switch/relion/run_r02/relion_motor_switch_k2_v3_it1.csv,GT-seeded+firstiter_cc+skip_align; iter1 best; collapses by iter5
dynamo,motor_switch,2,k2_pca_motor_switch,451,-0.000957,-0.001708,0.001085,0.481153,packages/dynamo/dynamo_outputs/motor_switch_pca/predictions_k2.csv,
dynamo,motor_easy,2,k2_AC_hc_x6_542,542,0.254458,0.288626,0.289651,0.752768,outputs/FM_easy/dynamo/dynamo_motor_easy_k2.csv,"dpkpca band[0.05,0.45,2] 50 eig; 2-class A/C x6 hc 542p; diff_sphere_r23_y55 mask"
disca,motor_easy,2,k2_AC_hc_x6_542,542,0.406554,0.421089,0.421897,0.819188,outputs/FM_easy/disca/disca_motor_easy_k2.csv,template-free DISCA; diff_sphere mask; Fourier-crop 96->32; 80 EM iter; 2-class A/C x6 542p
eman2,motor_easy,2,k2_AC_hc_x6_542,542,0.146296,0.262787,0.263943,0.691882,outputs/FM_easy/eman2/eman2_motor_easy_k2.csv,e2spt_pcasplit no-align k=2 no-clean NBASIS=12 MAXRES=40; DIFF-SPHERE mask (canonical); 2-class A/C x6 542p
pytom,motor_easy,2,k2_AC_hc_x6_542,542,0.261772,0.212064,0.213131,0.756458,outputs/FM_easy/pytom/pytom_motor_easy_k2.csv,"auto_focus_classify -a; CYLINDER mask r27 h24 (adopted 2026-06-17; CC method prefers tight mask, converged iter6); 2-class A/C x6 542p"
opus-tomo,motor_easy,2,k2_AC_hc_x6_542,542,0.008333,0.007289,0.008682,0.549815,outputs/FM_easy/opus/opus_motor_easy_k2.csv,VAE zdim8 20ep threshold mask; 2-class A/C x6 542p
